log_q,log_p,log_y,cl5_secondcity_d,cl5_smtown_d,cl5_suburban_d,cl5_urban_d,distance_oil1000,log_driver,log_hhr_age,log_hhsize,popdensity_d2,popdensity_d3,popdensity_d4,popdensity_d5,popdensity_d6,popdensity_d7,popdensity_d8,publictransit_d,share,state_fips,total_wrkr,region
7.17075061798096,0.300255507230759,11.4075651168823,0,1,0,0,2.14094996452332,0.6931471824646,3.80666255950928,1.3862943649292,0,0,0,0,1,0,0,0,0.0195152517408133,4,2,7.0
6.46041297912598,0.300057023763657,10.5320959091187,0,1,0,0,2.14094996452332,1.0986123085022,4.09434461593628,1.60943794250488,0,0,0,0,1,0,0,0,0.0230146031826735,4,2,7.0
7.14115905761719,0.300289690494537,10.9595403671265,0,0,1,0,2.14094996452332,0.6931471824646,3.49650764465332,1.60943794250488,1,0,0,0,0,0,0,0,0.0296559818089008,4,2,7.0
7.04332160949707,0.300184607505798,11.1198825836182,0,0,1,0,2.14094996452332,0.6931471824646,3.465735912323,1.3862943649292,0,0,0,0,1,0,0,0,0.0229055415838957,4,1,7.0
7.31073236465454,0.300369471311569,11.1913414001465,0,0,0,1,2.14094996452332,0.6931471824646,3.29583692550659,1.3862943649292,0,0,0,0,1,0,0,0,0.0278690084815025,4,2,7.0
8.82238006591797,0.300357222557068,11.6952466964722,0,0,1,0,2.14094996452332,1.60943794250488,3.76120018959045,1.94591009616852,0,0,0,0,1,0,0,0,0.0763437300920486,4,5,7.0
6.70007991790771,0.300634920597076,11.1913414001465,1,0,0,0,2.14094996452332,0.6931471824646,3.76120018959045,1.3862943649292,0,0,0,1,0,0,0,0,0.0151367913931608,4,2,7.0
8.17409801483154,0.300410985946655,11.6952466964722,0,0,1,0,2.14094996452332,1.3862943649292,4.06044292449951,1.60943794250488,0,0,0,1,0,0,0,0,0.039925578981638,4,4,7.0
7.02543067932129,0.300265043973923,11.6952466964722,0,1,0,0,2.14094996452332,0.6931471824646,3.49650764465332,1.7917594909668,0,0,0,0,0,0,0,0,0.0126569168642163,4,2,7.0
7.33388805389404,0.300132244825363,11.0429220199585,1,0,0,0,2.14094996452332,0.6931471824646,3.43398714065552,1.3862943649292,0,0,0,0,0,0,0,0,0.0330775193870068,4,2,7.0
6.98643207550049,0.300166517496109,11.6952466964722,0,0,0,1,2.14094996452332,0.6931471824646,4.12713432312012,1.0986123085022,0,0,0,1,0,0,0,0,0.0121716167777777,4,1,7.0
7.54064559936523,0.250623226165771,10.5320959091187,0,1,0,0,0.785452961921692,0.6931471824646,3.49650764465332,1.3862943649292,1,0,0,0,0,0,0,0,0.0645169466733932,5,2,6.0
7.38371801376343,0.250349402427673,11.6952466964722,0,1,0,0,0.785452961921692,0.6931471824646,3.7376697063446,1.0986123085022,0,1,0,0,0,0,0,0,0.0172286815941334,5,2,6.0
6.96019124984741,0.250500857830048,10.5320959091187,0,1,0,0,0.785452961921692,1.0986123085022,3.7376697063446,1.60943794250488,1,0,0,0,0,0,0,0,0.0361021123826504,5,2,6.0
6.85423040390015,0.250318676233292,10.2219409942627,0,1,0,0,0.785452961921692,0.6931471824646,3.55534815788269,1.0986123085022,0,0,0,1,0,0,0,0,0.0442724712193012,5,2,6.0
6.82614231109619,0.250356823205948,10.7684850692749,0,1,0,0,0.785452961921692,0.6931471824646,3.58351898193359,1.0986123085022,0,1,0,0,0,0,0,0,0.0249224621802568,5,2,6.0
7.29318523406982,0.250316739082336,11.6952466964722,0,1,0,0,0.785452961921692,1.0986123085022,3.76120018959045,1.3862943649292,1,0,0,0,0,0,0,0,0.0157369282096624,5,1,6.0
7.22384929656982,0.250376403331757,10.9595403671265,0,1,0,0,0.785452961921692,1.0986123085022,3.465735912323,1.60943794250488,1,0,0,0,0,0,0,0,0.0306441262364388,5,2,6.0
7.8818941116333,0.250490933656693,11.2580327987671,1,0,0,0,0.785452961921692,1.60943794250488,3.89182019233704,1.60943794250488,0,0,0,1,0,0,0,0,0.0439084582030773,5,2,6.0
7.08247900009155,0.250440806150436,9.76995658874512,0,1,0,0,0.785452961921692,0.6931471824646,3.58351898193359,1.60943794250488,1,0,0,0,0,0,0,0,0.0874195396900177,5,2,6.0
7.45432138442993,0.250490188598633,10.9595403671265,0,1,0,0,0.785452961921692,0.6931471824646,3.8712010383606,1.3862943649292,0,1,0,0,0,0,0,0,0.0385912992060184,5,2,6.0
7.23000049591064,0.250586867332458,11.1198825836182,0,1,0,0,0.785452961921692,0.6931471824646,3.58351898193359,1.7917594909668,0,0,0,0,1,0,0,0,0.0262708403170109,5,2,6.0
6.87248277664185,0.250369995832443,11.1198825836182,1,0,0,0,0.785452961921692,0.6931471824646,3.63758611679077,1.60943794250488,0,0,0,1,0,0,0,0,0.0183701161295176,5,1,6.0
7.7079963684082,0.250468462705612,10.7684850692749,0,1,0,0,0.785452961921692,1.0986123085022,3.7376697063446,1.3862943649292,0,0,1,0,0,0,0,0,0.0602037869393826,5,2,6.0
7.59286212921143,0.25055855512619,11.0429220199585,1,0,0,0,0.785452961921692,0.6931471824646,3.78418970108032,1.3862943649292,0,0,0,1,0,0,0,0,0.0407825410366058,5,2,6.0
7.07969903945923,0.250387728214264,10.5320959091187,0,1,0,0,0.785452961921692,0.6931471824646,3.58351898193359,1.0986123085022,0,0,0,1,0,0,0,0,0.0406803824007511,5,2,6.0
7.78256273269653,0.250567466020584,10.7684850692749,0,1,0,0,0.785452961921692,0.6931471824646,3.465735912323,1.3862943649292,0,0,1,0,0,0,0,0,0.0648709908127785,5,2,6.0
7.30146837234497,0.25053071975708,11.1198825836182,0,1,0,0,0.785452961921692,0.0,3.43398714065552,1.60943794250488,0,0,1,0,0,0,0,0,0.0282154977321625,5,2,6.0
7.67624950408936,0.250605523586273,10.3889951705933,1,0,0,0,0.785452961921692,0.6931471824646,3.40119743347168,1.0986123085022,0,0,1,0,0,0,0,0,0.0852522999048233,5,2,6.0
